observation_date,CPALTT01JPQ657N
1956-01-01,0.5012531329349320108335064106
1957-01-01,-1.3703323056149296910177781683
1958-01-01,0.1042752866519029986136501975
1959-01-01,0.8943928448525269025992656680
1960-01-01,0.6308100934579580210126437123
1961-01-01,3.4363177809611600288519639435
1962-01-01,1.0023584896999300219988526806
1963-01-01,0.7342143905517560797946430284
1964-01-01,2.4502840908940601849508311716
1965-01-01,1.9666666660995899551522825277
1966-01-01,0.9825673534970590372594756445
1967-01-01,3.2545287069622794717815850163
1968-01-01,1.9124891337788700873545622017
1969-01-01,1.2231584673312700939362684949
1970-01-01,2.8047464940669000199591209821
1971-01-01,1.3065326633165699199423670507
1972-01-01,1.3422818791946100613898806841
1973-01-01,4.2553191489361807953173411079
1974-01-01,4.2039972432804892932267648575
1975-01-01,2.6233603997501804272474146273
1976-01-01,2.3917995444191602061323465023
1977-01-01,0.9493670886075959991501349577
1978-01-01,0.3031834259727139158080433390
1979-01-01,1.6585365853658700086015187480
1980-01-01,1.2635379061372000730756326448
1981-01-01,1.1693373754872200542820337432
1982-01-01,0.8849557522123759900622985697
1983-01-01,1.0797342192690899675966420546
1984-01-01,1.1372867587327299965238580626
1985-01-01,0.4365079365079410078642752069
1986-01-01,-0.0395882818685625026411400995
1987-01-01,0.2759164367362990089027618978
1988-01-01,0.7445141065830809257164446535
1989-01-01,0.6102212051868759479233972343
1990-01-01,1.6362960208255898919560422655
1991-01-01,1.2252252252252098241314115512
1992-01-01,0.3893805309734559849665913589
1993-01-01,-0.2782608695652100117001737090
1994-01-01,0.5217391304347600566870823968
1995-01-01,-0.0695410292072246027927917567
1996-01-01,0.2775850104094420012224020411
1997-01-01,0.2718314644920188927201820661
1998-01-01,1.0214504596526801094569236739
1999-01-01,0.0000000000000000000000000000
2000-01-01,-0.1370801919122650036619859293
2001-01-01,-0.3451846738004910042363349021
2002-01-01,-0.1043841336116799051181303071
2003-01-01,-0.1743983257760648997169994345
2004-01-01,0.4539106145251479151880857899
2005-01-01,0.0000000000000000000000000000
2006-01-01,-0.2784545770970919820186395555
2007-01-01,0.3485535029627129799401075161
2008-01-01,-0.7505970658478191559481729200
2009-01-01,-0.5235602094240729975638259930
2010-01-01,0.2115655853314530043807195625
2011-01-01,-0.2464788732394329884289874144
2012-01-01,-0.0707213578500628936573946248
2013-01-01,0.4556607080266349973918238447
2014-01-01,-0.3051881993896130018661949634
2015-01-01,-0.1693766937669299865731886712
2016-01-01,0.6126616746085660203391398682
2017-01-01,0.5751014884979859242974953304
2018-01-01,0.3345600535295940036739636980
2019-01-01,0.5001667222407699675557068986
2020-01-01,-0.4666666666666710039379495356
2021-01-01,
